INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,033 |-INFO in ch.qos.logback.core.rolling.FixedWindowRollingPolicy@880ec60 - Will use zip compression
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,046 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,073 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - Active log file name: /home/planetbeyond/temp/socialive_ivr_engine.log
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,073 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - File property is set to [/home/planetbeyond/temp/socialive_ivr_engine.log]
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,079 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,082 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [CONSOLE]
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,089 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,095 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to DEBUG
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,096 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [FILE] to Logger[ROOT]
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,099 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[ROOT]
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,100 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
INFO   | jvm 1    | 2020/03/09 15:04:47 | 15:04:47,102 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@61a485d2 - Registering current configuration as safe fallback point
INFO   | jvm 1    | 2020/03/09 15:04:47 | 2020-03-09 15:04:47,210 INFO [WrapperSimpleAppMain] EmailServer [EmailServer.java:84] Email sending thread has been started. Make sure that stopEmailServerThread() is called whenever the thread needs to be stopped.
INFO   | jvm 1    | 2020/03/09 15:04:47 | 2020-03-09 15:04:47,226 DEBUG [WrapperSimpleAppMain] DefaultAgiServer [AbstractAgiServer.java:81] Using channelFactory org.asteriskjava.fastagi.internal.DefaultAgiChannelFactory
INFO   | jvm 1    | 2020/03/09 15:04:47 | 2020-03-09 15:04:47,233 INFO [WrapperSimpleAppMain] DefaultAgiServer [DefaultAgiServer.java:315] Listening on *:7374.
STATUS | wrapper  | 2020/03/09 15:05:06 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/03/09 15:05:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/09 15:05:47 | --> Wrapper Started as Console
